Title,Description,Location,Date,Price,Marketed
Brand New Luxury 4 Bedroom Bungalow,4 bedroom house for sale,"  Abule Odu Egbeda Idimu Road, Egbeda, Alimosho, Lagos",Added on 22 Aug 2022,"₦35,000,000 ",Ademillion Homes  08035277500 
6 Units Of 3 Bedroom Flats On More Than 1 Plot Of Land(84/144). Title:,Block of flats for sale,"  Egbeda, Alimosho, Lagos",Added on 19 Aug 2022,"₦75,000,000 ",The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise  07034194181 
A Block Of Six Units Of 3 Bedroom Flats,3 bedroom block of flats for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 19 Aug 2022,"₦75,000,000 ",Peniel's Honour Limited  08034728642 
Elevated Bungalow,4 bedroom detached bungalow for sale,"  Santos Layout Estate, Akowonjo, Alimosho, Lagos",Added on 18 Aug 2022,"₦180,000,000 ",Akinhanmi & Associates  08072778326 
Federal Housing Allocation,4 bedroom detached duplex for sale,"  Glory Land Estate, Isheri Olofin, Alimosho, Lagos",Added on 17 Aug 2022,"₦70,000,000 ",Hassadek International Limited  08060222647 
Title,Description,Location,Date,Price,Marketed
C Of O,4 bedroom block of flats for sale,"  Isiba Oluwo, Egbeda, Alimosho, Lagos",Added on 16 Aug 2022,"₦80,000,000 ",Hassadek International Limited  08060222647 
A Full Plot Of Land In A Developed And Secured Estate,Residential land for sale,"  Gemade Estate Egbeda Lagos, Egbeda, Alimosho, Lagos",Added on 12 Aug 2022,"₦85,000,000 ",Letsales.com.ng  07064937423 
Fully Furnished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,"  Royal Estate, Beside Diamond Estate, Egbeda, Alimosho, Lagos",Added on 10 Aug 2022,"₦60,000,000 ",Oip Properties  07061276409 
A 4 Bed Room Duplex In A Secured Environment,4 bedroom semi-detached duplex for sale,"  Gowon Estate Egbeda Lagos, Egbeda, Alimosho, Lagos",Added on 10 Aug 2022,"₦40,000,000 ",Letsales.com.ng  07064937423 
4 Bedroom Duplex With 2 Units Of 3 Bedroom Flat With C Of O,4 bedroom house for sale,"  Unity Estate, Egbeda, Alimosho, Lagos",Added on 10 Aug 2022,"₦40,000,000 ",Yfab Integrated Concept Ltd  2347035892822 
Complete Plot Of Land 3 Bedroom Flat Into 2 Place And 4 Shops In Front,3 bedroom detached bungalow for sale,"  Collage Bus Stop, Igando, Alimosho, Lagos",Added on 09 Aug 2022,"₦20,000,000 ",The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise  07034194181 
